id,name,img,asin,price,mrp,rating,ratingTotal,discount,seller,purl,image_filename
2088,Aviator Sunglasses,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22820938/2023/4/19/40d1bcb1-8312-4908-a0fa-2a95373dff781681918086630Sunglasses1.jpg",-,3255.0,4650.0,0.0,0,30,MARC LOUIS,https://www.myntra.com/sunglasses/marc-louis/marc-louis-lens--aviator-sunglasses-with-uv-protected-lens-ml-d8941-black-silver-1-sg/22820938/buy,Aviator_Sunglasses_2087.jpg
2090,Women Cateye Sunglasses with UV Protected Lens,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22831264/2023/4/20/b64db1d3-4ba4-4b53-8524-b9e23572ab8c1681981069781Sunglasses1.jpg",-,1870.0,1870.0,0.0,0,0,IRUS by IDEE,https://www.myntra.com/sunglasses/irus-by-idee/irus-by-idee-women-lens--cateye-sunglasses-with-uv-protected-lens-irs1118c2sg/22831264/buy,Women_Cateye_Sunglasses_with_UV_Protected_Lens_2089.jpg
2091,Women Cateye Sunglasses with UV Protected Lens,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22831166/2023/4/20/f1588d84-2bed-4e8f-af14-e51559db4b841681985394065Sunglasses1.jpg",-,1870.0,1870.0,0.0,0,0,IRUS by IDEE,https://www.myntra.com/sunglasses/irus-by-idee/irus-by-idee-women-lens--cateye-sunglasses-with-uv-protected-lens-irs1118c4sg/22831166/buy,Women_Cateye_Sunglasses_with_UV_Protected_Lens_2090.jpg
2092,Aviator Sunglasses,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22820936/2023/4/19/5c1ac823-1329-45ef-bfb5-84a3a1e617c91681918068254Sunglasses1.jpg",-,3255.0,4650.0,0.0,0,30,MARC LOUIS,https://www.myntra.com/sunglasses/marc-louis/marc-louis-lens--aviator-sunglasses-with-uv-protected-lens-ml-d8984-black-silver-1-sg/22820936/buy,Aviator_Sunglasses_2091.jpg
2093,Aviator Sunglasses,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22881562/2023/4/25/64263268-1d66-437e-a1b1-30b94ed3ced61682368699008MAGNEQAviatorShapedGreenPolaroizedUnisexSunglassesMG8778SC11.jpg",-,645.0,1290.0,0.0,0,50,MAGNEQ,https://www.myntra.com/sunglasses/magneq/magneq-lens--aviator-sunglasses-with-polarised--uv-protected-lens-mg-8778s-c2-5518/22881562/buy,Aviator_Sunglasses_2092.jpg
2095,Women Other Sunglasses with Polarised Lens,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22838672/2023/4/21/ffb10101-39ee-414f-b35d-915ee3e0b6ee1682019737355Sunglasses1.jpg",-,3255.0,4650.0,0.0,0,30,GIORDANO,https://www.myntra.com/sunglasses/giordano/giordano-women-grey-lens--black-other-sunglasses-with-polarised-lens/22838672/buy,Women_Other_Sunglasses_with_Polarised_Lens_2094.jpg
2096,Women Round Sunglasses with UV Protected Lens,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22831222/2023/4/20/ec70e4bb-26e0-4263-a52e-d1df3770fd471681980406308Sunglasses1.jpg",-,1990.0,1990.0,0.0,0,0,IRUS by IDEE,https://www.myntra.com/sunglasses/irus-by-idee/irus-by-idee-women-lens--round-sunglasses-with-uv-protected-lens-irs1113c3sg/22831222/buy,Women_Round_Sunglasses_with_UV_Protected_Lens_2095.jpg
2097,Women Cateye Sunglasses,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22848320/2023/4/21/33c4da47-d90c-408c-89b6-a6a8fb3b5c0b1682074140879Sunglasses1.jpg",-,1680.0,1680.0,0.0,0,0,IRUS by IDEE,https://www.myntra.com/sunglasses/irus-by-idee/irus-by-idee-women-lens--cateye-sunglasses-with-uv-protected-lens-irs1203c2sg/22848320/buy,Women_Cateye_Sunglasses_2096.jpg
2098,Aviator Sunglasses & Lens,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22848154/2023/4/21/9557cb8d-114d-4b5d-ad69-ab215ff69c6d1682071127392Sunglasses1.jpg",-,1870.0,1870.0,0.0,0,0,IRUS by IDEE,https://www.myntra.com/sunglasses/irus-by-idee/irus-by-idee-aviator-sunglasses-with-uv-protected-lens-irs1175c4sg/22848154/buy,Aviator_Sunglasses___Lens_2097.jpg
2100,Round Sunglasses,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22863534/2023/4/24/8c7b7899-7076-466a-b522-29d70f3e2d7a1682345270279MAGNEQRoundShapedBlackUvProtectedPolarizedUnisexSunglassesMG1.jpg",-,1975.0,2500.0,0.0,0,21,MAGNEQ,https://www.myntra.com/sunglasses/magneq/magneq-lens--round-sunglasses-with-polarised--uv-protected-lens-mg-3447s-c8-5021/22863534/buy,Round_Sunglasses_2099.jpg
2101,Buckle Embellished Ballerinas,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928378/2023/4/27/d6243801-1846-4900-b84d-264ef40489ac1682611954659DressBerryWomenTanBallerinaswithBowsFlats1.jpg",-,2459.0,5999.0,0.0,0,59,DressBerry,https://www.myntra.com/flats/dressberry/dressberry-tan-brown-and-gold-toned-buckle-embellished-ballerinas/22928378/buy,Buckle_Embellished_Ballerinas_2100.jpg
2102,Women Printed Sliders,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935438/2023/4/28/670ded30-b956-4bc8-9484-da95d71146aa1682679058926JUMPLITELoveForYouWomenBlueFlipFlop-36Euro1.jpg",-,1299.0,1299.0,0.0,0,0,JUMPLITE,https://www.myntra.com/flip-flops/jumplite/jumplite-women-blue--white-printed-sliders/22935438/buy,Women_Printed_Sliders_2101.jpg
2103,Women Printed Thong Flip-Flops,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22926582/2023/4/28/1147e0c5-271d-4dd6-893e-0a7fc72392351682630572495FlipFlops1.jpg",-,399.0,499.0,0.0,0,100,CASSIEY,https://www.myntra.com/flip-flops/cassiey/cassiey-women-printed-thong-flip-flops-with-bows-/22926582/buy,Women_Printed_Thong_Flip-Flops_2102.jpg
2104,Women Printed Slip-On Sneakers,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/20911446/2023/4/27/aeab00f9-daf8-4711-bcd5-5d10c2d2d7d91682592983814-Mast--Harbour-Women-Flats-8651682592983556-1.jpg",-,479.0,1199.0,0.0,0,60,Mast & Harbour,https://www.myntra.com/casual-shoes/mast--harbour/mast--harbour-women-printed-slip-on-sneakers/20911446/buy,Women_Printed_Slip-On_Sneakers_2103.jpg
2105,Women Air Running Shoes,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22913308/2023/4/26/642802e1-71fb-490f-9553-e3a63759199b1682533676277JUMPLITEH-3WomenPinkRunningShoes-36Euro1.jpg",-,1999.0,1999.0,0.0,0,0,JUMPLITE,https://www.myntra.com/sports-shoes/jumplite/jumplite-women-air-textile-non-marking-running-shoes/22913308/buy,Women_Air_Running_Shoes_2104.jpg
2106,Embellished Block Sandals,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22924854/2023/4/27/3d1019cf-5f89-458f-ad67-271246e554a81682612805784TruffleCollectionNude-ColouredEmbellishedBlockSandals1.jpg",-,3399.0,3399.0,0.0,0,0,Truffle Collection,https://www.myntra.com/heels/truffle-collection/truffle-collection-nude-coloured-embellished-block-sandals/22924854/buy,Embellished_Block_Sandals_2105.jpg
2107,Buckled Leather Ballerinas,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928386/2023/4/28/d44d7f76-e083-4b1e-9635-6804ab34a38f1682655989772DressBerryWomenWhiteBallerinaswithBowsFlats1.jpg",-,2459.0,5999.0,0.0,0,59,DressBerry,https://www.myntra.com/flats/dressberry/dressberry-white-and-gold-toned-buckled-leather-ballerinas/22928386/buy,Buckled_Leather_Ballerinas_2106.jpg
2108,Buckled Leather Ballerinas,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928362/2023/4/28/7bca28db-5748-44ec-8d73-f110625c894d1682672171447DressBerryWomenBeigeBallerinaswithBowsFlats1.jpg",-,2459.0,5999.0,0.0,0,59,DressBerry,https://www.myntra.com/flats/dressberry/dressberry-beige-and-gold-toned-buckled-leather-ballerinas/22928362/buy,Buckled_Leather_Ballerinas_2107.jpg
2109,Women Thong Flip-Flops,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928846/2023/4/28/d2566a0e-26f7-4986-bb99-c76402ef49011682632999591ChuppsPatangCollectionROYALBLUE1.jpg",-,449.0,899.0,0.0,0,50,CHUPPS,https://www.myntra.com/flip-flops/chupps/chupps-women-colourblocked-thong-flip-flops/22928846/buy,Women_Thong_Flip-Flops_2108.jpg
2110,Open Toe Comfort Heels,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928878/2023/4/28/96277105-a6ae-4a6b-96ce-c7bcc444b5501682655866916HASTENBlackComfortSandals1.jpg",-,799.0,1999.0,0.0,0,60,HASTEN,https://www.myntra.com/heels/hasten/hasten-open-toe-comfort-heels/22928878/buy,Open_Toe_Comfort_Heels_2109.jpg
2111,Open Toe Block Heels,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22929168/2023/4/28/4cf2fb6d-bf52-463f-801f-db23fe32d2ad1682655910978WALKWAYbyMetroPinkBlockSandals1.jpg",-,909.0,1399.0,0.0,0,35,WALKWAY by Metro,https://www.myntra.com/heels/walkway-by-metro/walkway-by-metro-open-toe-block-heels-with-buckle-closure-/22929168/buy,Open_Toe_Block_Heels_2110.jpg
2112,Round Toe Leather Ballerinas,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22928376/2023/4/27/ebe1e073-8cc3-40f3-98af-31cccda323ef1682611554709DressBerryWomenBeigeBallerinasFlats1.jpg",-,2459.0,5999.0,0.0,0,59,DressBerry,https://www.myntra.com/flats/dressberry/dressberry-beige-round-toe-leather-ballerinas/22928376/buy,Round_Toe_Leather_Ballerinas_2111.jpg
2113,Women Solid Sliders,"https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/15635758/2023/4/27/62750b22-e3a7-462d-b871-ce3ba4d5e0341682589907734-Kook-N-Keech-Women-Flip-Flops-7951682589907423-1.jpg",-,599.0,1499.0,0.0,0,60,Kook N Keech,https://www.myntra.com/flip-flops/kook-n-keech/kook-n-keech-women-solid-sliders/15635758/buy,Women_Solid_Sliders_2112.jpg
